ID,Usuário,Tweet,Seguidores,Polaridade,Subjetividade,Sentimento
1052299527800131585,jennieyoui,ai gente tô muito feliz,1285,1.0,1.0,Positivo
1111302916781080577,higurashmei,tô tão feliz que vai ter s3 de kaguya https://t.co/j1qVKMN9OV,1385,0.8,1.0,Positivo
884504756324098048,Minajbardy,FELIZ ANIVERSÁRIO @InesBrasilTV ❤❤❤❤❤❤🍇🍇🍇🍇🍇🍇🍉🍉🍉🍉🍉🍉🍉🍌🍌🍌🍌🍌🍌 #niverdapantera https://t.co/6DMPhJdYSQ,1130,0.8,1.0,Positivo
979973148929134594,olivercomunista,"@athenafulcanel PARABÉEEEEEEENS, MUITAS FELICIDADES SEMPREEEEEE. FELIZ NIVER 🥳🥳🥳🥳🥳 https://t.co/39o5yEUNyv",831,0.6666666666666666,0.5666666666666667,Positivo
1162354928741953536,kalelandre1980,"@sergiosepsep Nunca coloquei cigarro na boca, sempre odiei. Fico feliz que tenha largado. Que Deus abençoe sua saúde por anos e anos.",806,-0.2,0.85,Negativo
17119960,raulzito,@lorraneufrasio Por isso o futebol é maravilhoso!,1350,1.0,1.0,Positivo
1320376948397309954,ODesabafo9,"carência faz o que a pessoa deposite a solução da sua felicidade em algo ou alguém, isso é algo MUITO perigoso",0,-0.040000000000000036,0.6,Negativo
165825149,valteeeeerr,Estou feliz! https://t.co/eIh9h4b0a4,67,1.0,1.0,Positivo
3433562020,moonie_ee,@httpkilluwa JEJFKKDKSKSK Eu acho maravilhoso mas esse aí tá maior que o normal msm,546,0.3833333333333333,0.7166666666666667,Positivo
1719763598,Welbergomesdeso,"@bso_crf @Flamengo @CBF_Futebol Essa @CBF_Futebol e uma vergonha , fazem na cara dura mesmo sem vergonha de porra nenhuma.  ENTIDADE LIXO.",414,-0.2916666666666667,0.5416666666666666,Negativo
548648794,Teresamejia7,@LucyPN Mi Lucy feliz domingo 😘🤗,11395,0.8,1.0,Positivo
1320000929949798405,hopexjmv,"@taeskyblue feliz aniversário anjinho, espero que seu dia seja incrível 💜✨",117,0.7000000000000001,0.95,Positivo
1071025983199809537,amsterdamsches,o jeito que o ajax está me fazendo feliz tipo o que será vai acontecer de ruim nos próximos dias,272,-0.024999999999999953,0.44166666666666665,Negativo
1204494301473988614,sucodegroselha,@prettylittlerii @melglow222 ownnn fico feliz por isso vida❤️❤️❤️❤️❤️,2585,0.8,1.0,Positivo
1294817267776192512,onlyfivelads,"@onlythelouiss feliz aniversário amg, aproveita bastante seu dia tá?!❤️🥳",65,0.6083333333333334,0.6666666666666666,Positivo
1201193892319760384,ggukbyy,eu to mt feliz que eu consegui fazer minha amg parar de ser assediada por um menino pq eu tava fingindo ser namorado dela mdss,4679,0.8,1.0,Positivo
57022800,_ViniO,P eu ficar feliz c blusa de time esse ano falta só a rosa do Heat,349,0.3,0.75,Positivo
775876717260840960,mtescarpulli,FELIZ DOMINGO MUNDO.🙋‍♀️🏡😷🥀💖🧡💚💜💙❤️🙏🖖 https://t.co/Z8gToWhc4F,154,0.8,1.0,Positivo
66837320,loamachado,Voltando a usar o Twitter porém em um momento feliz. Provar que ele não é só pra lamentações hahaha,19,0.22500000000000003,0.4,Positivo
1215484170069213185,ruanbarreto_,Só tenho uma coisa a dizer:  Fuck all the problems!! Bora correr atrás do que faz a gente feliz porque a vida já te… https://t.co/dEiwXjsGzH,54,0.05833333333333335,0.8666666666666667,Positivo
1225647439656259585,laurxluthor,"TODO MUNDO NA MINHA CASA É BI INCUBADO, OQ SE PASSA NA CABEÇA DESSAS PESSOAS. não sei se fico feliz ou desconfortáv… https://t.co/5UmWujDKFO",5774,0.8,1.0,Positivo
1128819044444975105,LuzBeatrizPine1,@CarlosOCorrea Feliz domingo 🤗😊😊,450,0.8,1.0,Positivo
1048380608718823424,AnaLSantanaa,"a gente nao vai errar não e se a gente errar , a gente foi feliz tentando acertaar",294,0.5428571428571429,0.7678571428571428,Positivo
2869977099,gusmaole_,"@garotashazam aaaaa você merece, cara! feliz dia :) seu namorado é FODA, e você mais ainda",434,0.35,0.775,Positivo
1229924821074620416,soulorelore,"to feliz em, caralho! gratidão",36,1.0,1.0,Positivo
1241609154525102080,izascfc_,"@_maria4_x super normal, tudo desse homem da tesão",350,0.24166666666666664,0.6583333333333332,Positivo
1235735509,CivelloMrs,Toda vez eu saio pensativa? Sim pq toda fodida kk Mas feliz,366,0.20000000000000004,0.7333333333333334,Positivo
1320380892020396032,AraujoMarilea,Eu estou feliz https://t.co/6mVIynvOsD,0,0.8,1.0,Positivo
714666835661176832,erica_magi,"@vmkern o trabalho não acaba, colega. Tenho sofrido mais que o normal para corrigir tudo. Meus olhos não aguentam mais a tela do PC",121,0.125,0.375,Positivo
1154366015544987648,MartaCosta0110,"""Sou eu própria, tenho orgulho de mim própria e estou feliz comigo própria""",44,0.8,1.0,Positivo
1188209667060699136,mzriacrf,to feliz,546,0.8,1.0,Positivo
1214986550611783680,tuzah_,@bernardkkkkkk mude sua foto de perfil estou triste e essa nossa imagem é mt feliz,102,0.25,1.0,Positivo
948970710000721921,ferlulove,"@biiaportela 😍😍  simm, vai ser normal se tudo der certo 🙏🏼 ele já tá virado, fui na consulta essa semana e a médica… https://t.co/1XRuxoJKT7",237,0.15,0.6499999999999999,Positivo
2830730868,_luaemcancer,@notallcancers KKKKKKK misericórdia a cara de felicidade do bichin,346,0.7,0.2,Positivo
287744651,guerreirofelip,"@Kaio1908 @__Ricota @glhrmf11 Pra eu não perder mais tempo contigo, fica com essa reportagem aí.  https://t.co/n9rx0b8rca",546,0.15,0.25,Positivo
